index,tid,loc_name,loc_number,loc_type,address_1,country,city,state,phone,postal_code,group_branch_number,latitude,longitude,update_timestamp,RunDate,InsertUpdateTime,RunID,brand
29,104014,Kailua-Kona,E13630,CITY,Non-Airport: 74-5583 Luhia St.,US,Kailua Kona,HI,+1 808-331-2509,96740,3630,19.647629,-155.999399,2022-03-25 00:00:00,2022-05-03 08:50:05,2022-05-03 08:58:31,46292,ENTERPRISE
30,104015,Aguadilla Rafael Hernรกndez Airport,BQNT01,AIRPORT,Hangar 579 Rafael Hndz Airport,US,Aguadilla,PR,+1 787-890-3732,603,P1N2,18.495396,-67.135578,2022-04-30 00:00:00,2022-05-03 08:50:05,2022-05-03 09:03:10,46292,NATIONAL
31,104016,Aguadilla Rafael Hernรกndez Airport,BQNT71,AIRPORT,Hangar 579 Rafael Hndz Airport,US,Aguadilla,PR,+1 787-890-3732,603,P1A2,18.495396,-67.135578,2022-04-30 00:00:00,2022-05-03 08:50:05,2022-05-03 09:03:10,46292,ALAMO
32,104017,Fajardo,E1P106,CITY,4227 Calle Marginal # 3,US,Fajardo,PR,+1 844-794-8594,738,P106,18.338343,-65.666966,2020-06-01 00:00:00,2022-05-03 08:50:05,2022-05-03 09:04:04,46292,ENTERPRISE
33,104018,Rio Grande Rio Mar Resort,E1P118,CITY,Enterprise At Wyndham Rio Mar,US,Rio Grande,PR,+1 939-216-3630,745,P118,18.385113,-65.758024,2021-11-17 00:00:00,2022-05-03 08:50:05,2022-05-03 09:04:04,46292,ENTERPRISE
34,104019,Carolina Marginal Celestial,E1P1E1,CITY,2484 Marginal Celestial,US,Carolina,PR,+1 844-874-6751,979,P1E1,18.429604,-65.995955,2021-11-17 00:00:00,2022-05-03 08:50:05,2022-05-03 09:04:04,46292,ENTERPRISE
35,104020,San Juan Luis Muñoz Marin Intl. Airport,SJUT61,AIRPORT,Luis Munoz Marin Intl Airport,US,San Juan,PR,+1 833-763-1734,979,P130,18.437361,-66.004768,2022-03-22 00:00:00,2022-05-03 08:50:05,2022-05-03 09:04:04,46292,ENTERPRISE
36,104021,Rio Piedras,E1P110,CITY,Av. 65 De Infantería,US,Rio Piedras,PR,+1 844-794-8597,925,P110,18.397561,-66.00625,2020-08-24 00:00:00,2022-05-03 08:50:05,2022-05-03 09:04:04,46292,ENTERPRISE
37,104022,Carolina El San Juan Hotel,E1P111,CITY,Avenida Isla Verde,US,Carolina,PR,+1 844-794-8598,979,P111,18.442278,-66.017434,2021-11-17 00:00:00,2022-05-03 08:50:05,2022-05-03 09:04:04,46292,ENTERPRISE
38,104023,San Juan Ritz-Carlton Hotel,E1P102,CITY,Enterprise At Ritz Carlton,US,Carolina,PR,+1 844-794-8591,979,P102,18.442264,-66.020328,2020-04-01 00:00:00,2022-05-03 08:50:05,2022-05-03 09:04:04,46292,ENTERPRISE
39,104024,San Juan Hilton Condado Plaza Hotel,E1P112,CITY,Enterprise At Condado Plaza,US,San Juan,PR,+1 844-794-8599,907,P112,18.459147,-66.077107,2021-11-17 00:00:00,2022-05-03 08:50:05,2022-05-03 09:04:04,46292,ENTERPRISE
40,104025,San Juan FBO Airport,SIGC61,CITY,Signature Aviation,US,San Juan,PR,+1 787-722-5172,907,P120,18.452901,-66.079067,2020-03-25 00:00:00,2022-05-03 08:50:05,2022-05-03 09:04:04,46292,ENTERPRISE
41,104026,San Juan Marginal Ave. Kennedy,E1P105,CITY,108 Calle Bechara,US,San Juan,PR,+1 844-794-8593,920,P105,18.423223,-66.095798,2022-02-21 00:00:00,2022-05-03 08:50:05,2022-05-03 09:04:04,46292,ENTERPRISE
42,104027,Caguas,E1P115,CITY,"Carr. #1, Km. 29.1",US,Caguas,PR,+1 787-258-4961,725,P115,18.232357,-66.03388,2022-03-18 00:00:00,2022-05-03 08:50:05,2022-05-03 09:04:04,46292,ENTERPRISE
43,104028,San Juan Caribe Hotel,E1P122,CITY,Enterprise At Caribe Hilton,US,San Juan,PR,+1 844-794-8599,901,P122,18.465982,-66.104347,2021-11-17 00:00:00,2022-05-03 08:50:05,2022-05-03 09:04:04,46292,ENTERPRISE
44,104029,Guaynabo,E1P103,CITY,Carr Militar Pr 2,US,Guaynabo,PR,+1 844-794-8592,966,P103,18.403763,-66.115524,2021-11-16 00:00:00,2022-05-03 08:50:05,2022-05-03 09:04:04,46292,ENTERPRISE
45,104030,Bayamon,E1P101,CITY,"Carr #2, Km. 14.8",US,Bayamon,PR,+1 787-251-3722,957,P101,18.380099,-66.18306,2022-03-18 00:00:00,2022-05-03 08:50:05,2022-05-03 09:04:04,46292,ENTERPRISE
46,104031,Dorado,E1P123,CITY,"State Rd. 693, Unit 17b",US,Dorado,PR,+1 844-874-6750,646,P123,18.462269,-66.296074,2022-03-18 00:00:00,2022-05-03 08:50:05,2022-05-03 09:04:04,46292,ENTERPRISE
47,104032,Ponce Mercedita Airport,E1P117,AIRPORT,Carr. 10 Final Sect. Mercedita,US,Ponce,PR,+1 787-249-0240,716,P117,18.00594,-66.590659,2022-04-11 00:00:00,2022-05-03 08:50:05,2022-05-03 09:04:06,46292,ENTERPRISE
48,104033,Ponce,E1P107,CITY,1023 Ave La Ceiba,US,Ponce,PR,+1 844-794-8595,716,P107,18.00882,-66.60064,2022-03-18 00:00:00,2022-05-03 08:50:05,2022-05-03 09:04:06,46292,ENTERPRISE
49,104034,Aguadilla Rafael Hernández Airport,BQNT61,AIRPORT,Hangar 579 Rafael Hndz Airport,US,Aguadilla,PR,+1 787-890-3732,603,P119,18.456785,-67.154966,2022-04-30 00:00:00,2022-05-03 08:50:05,2022-05-03 09:04:08,46292,ENTERPRISE
50,104035,Mayaguez,E1P108,CITY,"Carretera #2, Km. 158.9",US,Mayaguez,PR,+1 844-794-8596,680,P108,18.196761,-67.138844,2022-03-18 00:00:00,2022-05-03 08:50:05,2022-05-03 09:04:08,46292,ENTERPRISE
51,104036,Fairbanks,E145V6,CITY,3225 S Cushman St,US,Fairbanks,AK,+1 907-456-1412,99701,45V6,64.817436,-147.710438,2022-02-08 00:00:00,2022-05-03 08:50:05,2022-05-03 10:06:33,46292,ENTERPRISE
52,104037,Fairbanks International Airport,FAIT61,AIRPORT,6450 Airport Way,US,Fairbanks,AK,+1 833-823-5646,99709,45F9,64.817786,-147.868174,2022-02-08 00:00:00,2022-05-03 08:50:05,2022-05-03 10:06:33,46292,ENTERPRISE
53,104038,Wasilla,E145V4,CITY,4535 E Greenstreet Circle #1,US,Wasilla,AK,+1 907-373-2080,99654,45V4,61.570248,-149.336717,2022-02-08 00:00:00,2022-05-03 08:50:05,2022-05-03 10:34:35,46292,ENTERPRISE
54,104039,Downtown Anchorage,E145V1,CITY,906 E 5th Ave,US,Anchorage,AK,+1 907-277-1600,99501,45V1,61.217491,-149.866421,2022-04-26 00:00:00,2022-05-03 08:50:05,2022-05-03 10:39:46,46292,ENTERPRISE
55,104040,Anchorage Midtown,E145V2,CITY,510 E International Arpt Rd,US,Anchorage,AK,+1 907-563-5050,99518,45V2,61.173485,-149.873851,2022-03-25 00:00:00,2022-05-03 08:50:05,2022-05-03 10:39:46,46292,ENTERPRISE
56,104041,Anchorage Ted Stevens Intl. Airport,ANCT61,AIRPORT,4940 W Intl Airport Rd,US,Anchorage,AK,+1 844-914-1559,99502,45V5,61.17648,-149.964162,2022-02-08 00:00:00,2022-05-03 08:50:05,2022-05-03 10:39:46,46292,ENTERPRISE
57,104042,Juneau International Airport,JNUT61,AIRPORT,1873 Shell Simmons Dr Ste 104,US,Juneau,AK,+1 844-913-0745,99801,45J8,58.359054,-134.583094,2022-02-08 00:00:00,2022-05-03 08:50:05,2022-05-03 11:06:47,46292,ENTERPRISE
58,104043,Bellingham,E14533,CITY,1302 Iowa St,US,Bellingham,WA,+1 360-733-4363,98229,4533,48.7556,-122.4567,2022-02-17 00:00:00,2022-05-03 08:50:05,2022-05-03 12:42:33,46292,ENTERPRISE
59,104044,Bellingham International Airport,BLIT61,AIRPORT,4255 Mitchell Way,US,Bellingham,WA,+1 833-823-5643,98226,4592,48.79253,-122.530826,2022-02-08 00:00:00,2022-05-03 08:50:05,2022-05-03 12:42:33,46292,ENTERPRISE
60,104045,Anacortes,E14538,CITY,1013 10th St Ste B,US,Anacortes,WA,+1 360-293-4325,98221,4538,48.514107,-122.611926,2022-02-25 00:00:00,2022-05-03 08:50:05,2022-05-03 12:42:56,46292,ENTERPRISE
61,104046,Minot International Airport,MOTT61,AIRPORT,25 Airport Rd Ste 13,US,Minot,ND,+1 701-420-9867,58703,6308,48.256589,-101.295402,2021-10-06 00:00:00,2022-05-03 08:50:05,2022-05-03 12:46:38,46292,ENTERPRISE
62,104047,Minot,E16352,CITY,1825 S Broadway,US,Minot,ND,+1 701-838-3800,58701,6352,48.214146,-101.29591,2021-10-06 00:00:00,2022-05-03 08:50:05,2022-05-03 12:46:38,46292,ENTERPRISE
63,104048,Williston Basin International Airport,XWAT61,AIRPORT,14127 Jensen Ln,US,Williston,ND,+1 833-445-1508,58801,63E9,48.2586,-103.7482,2022-01-04 00:00:00,2022-05-03 08:50:05,2022-05-03 12:46:51,46292,ENTERPRISE
64,104049,Kalispell Glacier Park International Airport Offsite,FCAO61,AIRPORT,4785 Hwy 2 E,US,Columbia Falls,MT,+1 406-755-4848,59912,63E3,48.322962,-114.239514,2021-12-23 00:00:00,2022-05-03 08:50:05,2022-05-03 12:47:46,46292,ENTERPRISE
65,104050,Triangle DR Ponderay,E14558,CITY,1202 Triangle Dr,US,Ponderay,ID,+1 208-446-4501,83852,4558,48.3042,-116.5429,2022-04-21 00:00:00,2022-05-03 08:50:05,2022-05-03 12:47:56,46292,ENTERPRISE
66,104051,Burlington,E14532,CITY,1901 Freeway Dr,US,Mount Vernon,WA,+1 360-757-7343,98273,4532,48.438,-122.3437,2022-02-08 00:00:00,2022-05-03 08:50:05,2022-05-03 12:48:36,46292,ENTERPRISE
67,104052,Marysville Smokey Point,E14548,CITY,16215 Smokey Point Blvd,US,Marysville,WA,+1 360-657-4512,98271,4548,48.143753,-122.182819,2022-04-21 00:00:00,2022-05-03 08:50:05,2022-05-03 12:48:36,46292,ENTERPRISE
68,104053,Marysville,E145C1,CITY,9015 State Ave,US,Marysville,WA,+1 360-653-2319,98270,45C1,48.077775,-122.175426,2022-04-21 00:00:00,2022-05-03 08:50:05,2022-05-03 12:48:36,46292,ENTERPRISE
69,104054,Oak Harbor,E14534,CITY,1070 Ne Goldie St,US,Oak Harbor,WA,+1 360-675-6052,98277,4534,48.30698,-122.643411,2022-05-02 00:00:00,2022-05-03 08:50:05,2022-05-03 12:48:36,46292,ENTERPRISE
70,104055,Port Angeles,E145H5,CITY,"902 E First Street, Unit D",US,Port Angeles,WA,+1 360-417-3083,98362,45H5,48.112906,-123.418799,2022-04-28 00:00:00,2022-05-03 08:50:05,2022-05-03 12:48:38,46292,ENTERPRISE
71,104056,Bemidji Regional Airport,E16365,AIRPORT,3824 Moberg Drive Nw Suite 401,US,Bemidji,MN,+1 218-759-9960,56601,6365,47.504356,-94.934553,2022-04-19 00:00:00,2022-05-03 08:50:05,2022-05-03 12:50:24,46292,ENTERPRISE
72,104057,Grand Forks,E16357,CITY,2205 S Washington St,US,Grand Forks,ND,+1 701-775-3977,58201,6357,47.898519,-97.044491,2021-12-27 00:00:00,2022-05-03 08:50:05,2022-05-03 12:50:27,46292,ENTERPRISE
73,104058,Grand Forks International Airport,GFKT61,AIRPORT,2301 Airport Dr Ste 105,US,Grand Forks,ND,+1 701-746-1375,58203,63E7,47.944101,-97.174867,2021-12-27 00:00:00,2022-05-03 08:50:05,2022-05-03 12:50:27,46292,ENTERPRISE
74,104059,Great Falls,E16321,CITY,319 10th Avenue South,US,Great Falls,MT,+1 406-761-1600,59405,6321,47.494327,-111.30143,2021-10-06 00:00:00,2022-05-03 08:50:05,2022-05-03 12:52:06,46292,ENTERPRISE
75,104060,Great Falls International Airport,GTFT61,AIRPORT,2800 Terminal Dr,US,Great Falls,MT,+1 833-445-1505,59404,6307,47.481768,-111.355046,2021-10-06 00:00:00,2022-05-03 08:50:05,2022-05-03 12:52:06,46292,ENTERPRISE
76,104061,Kalispell Glacier Park International Airport,FCAT01,AIRPORT,4170 Us-2,US,Kalispell,MT,+1 844-917-0965,59901,63N3,48.2042,-114.3026,2021-10-06 00:00:00,2022-05-03 08:50:05,2022-05-03 12:52:13,46292,NATIONAL
77,104062,Kalispell Glacier Park Intl. Airport,FCAT71,AIRPORT,4170 Us-2,US,Kalispell,MT,+1 844-917-0964,59901,63A3,48.2042,-114.3026,2021-10-06 00:00:00,2022-05-03 08:50:05,2022-05-03 12:52:13,46292,ALAMO
78,104063,Coeur d'Alene N. Government Way,E14555,CITY,2644 N Government Way,US,Coeur D Alene,ID,+1 208-765-1070,83815,4555,47.701705,-116.786148,2022-03-22 00:00:00,2022-05-03 08:50:05,2022-05-03 12:52:16,46292,ENTERPRISE
79,104064,Coeur d'Alene Northwest Blvd.,E14560,CITY,704 Northwest Blvd,US,Coeur D Alene,ID,+1 208-497-3648,83814,4560,47.6794,-116.7907,2022-03-22 00:00:00,2022-05-03 08:50:05,2022-05-03 12:52:16,46292,ENTERPRISE
80,104065,Spokane E. Francis Ave.,E14554,CITY,1426 E Francis Ave,US,Spokane,WA,+1 509-489-6115,99208,4554,47.714876,-117.389592,2022-02-08 00:00:00,2022-05-03 08:50:05,2022-05-03 12:52:17,46292,ENTERPRISE
81,104066,Spokane Valley,E14551,CITY,7202 E Sprague Ave,US,Spokane Valley,WA,+1 509-926-4321,99212,4551,47.656762,-117.307737,2022-03-22 00:00:00,2022-05-03 08:50:05,2022-05-03 12:52:17,46292,ENTERPRISE
82,104067,Spokane N. Division St.,E14557,CITY,2727 N Division Street,US,Spokane,WA,+1 509-328-0173,99207,4557,47.6856,-117.4065,2022-03-22 00:00:00,2022-05-03 08:50:05,2022-05-03 12:52:17,46292,ENTERPRISE
83,104068,Downtown Spokane,E14552,CITY,41 W 3rd Ave,US,Spokane,WA,+1 509-458-3340,99201,4552,47.6534,-117.4128,2022-04-25 00:00:00,2022-05-03 08:50:05,2022-05-03 12:52:17,46292,ENTERPRISE
84,104069,Spokane International Airport,GEGT61,AIRPORT,9000 W Airport Dr,US,Spokane,WA,+1 509-747-0343,99224,45E7,47.641019,-117.506927,2022-02-08 00:00:00,2022-05-03 08:50:05,2022-05-03 12:52:17,46292,ENTERPRISE
85,104070,Monroe,E145N1,CITY,17368 W Main St,US,Monroe,WA,+1 360-794-9927,98272,45N1,47.850295,-121.998461,2022-02-08 00:00:00,2022-05-03 08:50:05,2022-05-03 12:52:36,46292,ENTERPRISE
86,104071,Snohomish,E14536,CITY,1410 Bickford Avenue Suite D,US,Snohomish,WA,+1 360-568-8227,98290,4536,47.929497,-122.100035,2022-04-21 00:00:00,2022-05-03 08:50:05,2022-05-03 12:52:36,46292,ENTERPRISE
87,104072,Everett Evergreen Way,E14535,CITY,5505 Evergreen Way,US,Everett,WA,+1 425-355-9218,98203,4535,47.947323,-122.21523,2022-04-21 00:00:00,2022-05-03 08:50:05,2022-05-03 12:52:36,46292,ENTERPRISE
88,104073,Mill Creek Service King Collision,E145N4,CITY,18002 Bothell Everett Hwy,US,Mill Creek,WA,+1 425-489-1523,98012,45N4,47.834433,-122.210788,2022-02-08 00:00:00,2022-05-03 08:50:05,2022-05-03 12:52:36,46292,ENTERPRISE
89,104074,Everett Mall Way,E14539,CITY,430 Sw Everett Mall Way,US,Everett,WA,+1 425-438-0322,98204,4539,47.9046,-122.2407,2022-04-21 00:00:00,2022-05-03 08:50:05,2022-05-03 12:52:36,46292,ENTERPRISE
90,104075,Mukilteo-Everett,E14595,CITY,13210 Highway 99,US,Everett,WA,+1 425-741-3477,98204,4595,47.8784,-122.2694,2022-04-25 00:00:00,2022-05-03 08:50:05,2022-05-03 12:52:36,46292,ENTERPRISE
91,104076,Bothell,E14510,CITY,17422 Ne Bothell Way,US,Bothell,WA,+1 425-483-1461,98011,4510,47.756558,-122.211848,2022-05-02 00:00:00,2022-05-03 08:50:05,2022-05-03 12:52:36,46292,ENTERPRISE
92,104077,Redmond,E145A2,CITY,9125 Willows Rd,US,Redmond,WA,+1 425-885-3501,98052,45A2,47.6838,-122.1449,2022-04-21 00:00:00,2022-05-03 08:50:05,2022-05-03 12:52:36,46292,ENTERPRISE
93,104078,Lynnwood 196th St. SW,E1453A,CITY,2228 196th St Sw,US,Lynnwood,WA,+1 425-412-2731,98036,453A,47.820575,-122.264302,2022-04-21 00:00:00,2022-05-03 08:50:05,2022-05-03 12:52:39,46292,ENTERPRISE
94,104079,Lynnwood 52nd Ave. W & Hwy. 99,E14509,CITY,18215 Highway 99,US,Lynnwood,WA,+1 425-771-4538,98037,4509,47.833527,-122.304281,2022-04-21 00:00:00,2022-05-03 08:50:05,2022-05-03 12:52:39,46292,ENTERPRISE
95,104080,Lynnwood 212th St. SW & Hwy. 99,E14505,CITY,"21101 Highway 99, Suite B",US,Lynnwood,WA,+1 425-774-8865,98036,4505,47.807841,-122.325703,2022-04-21 00:00:00,2022-05-03 08:50:05,2022-05-03 12:52:39,46292,ENTERPRISE
96,104081,Kirkland 120th Ave. NE,E14513,CITY,11402 120th Ave Ne,US,Kirkland,WA,+1 425-820-8555,98033,4513,47.702259,-122.181057,2022-04-21 00:00:00,2022-05-03 08:50:05,2022-05-03 12:52:39,46292,ENTERPRISE
97,104082,Seattle Lake City,E14503,CITY,11717 Lake City Way Ne,US,Seattle,WA,+1 206-364-3127,98125,4503,47.714389,-122.298262,2022-04-21 00:00:00,2022-05-03 08:50:05,2022-05-03 12:52:39,46292,ENTERPRISE
98,104083,Shoreline,E14502,CITY,14905 Aurora Ave N,US,Shoreline,WA,+1 206-363-2620,98133,4502,47.736671,-122.345412,2022-04-21 00:00:00,2022-05-03 08:50:05,2022-05-03 12:52:39,46292,ENTERPRISE
99,104084,Bellevue 140th Ave. NE,E14512,CITY,2299 140th Ave Ne Ste B,US,Bellevue,WA,+1 425-641-1365,98005,4512,47.63062,-122.153938,2022-04-21 00:00:00,2022-05-03 08:50:05,2022-05-03 12:52:39,46292,ENTERPRISE
100,104085,Seattle University District,E14506,CITY,5715 Roosevelt Way Ne,US,Seattle,WA,+1 206-729-4580,98105,4506,47.670645,-122.317433,2022-04-21 00:00:00,2022-05-03 08:50:05,2022-05-03 12:52:39,46292,ENTERPRISE
101,104086,Seattle Greenwood,E14504,CITY,331 Nw 85th St,US,Seattle,WA,+1 206-783-5565,98117,4504,47.6905,-122.3623,2022-02-08 00:00:00,2022-05-03 08:50:05,2022-05-03 12:52:39,46292,ENTERPRISE
102,104087,Bellevue NE 12th St.,E14511,CITY,12200 Ne 12th St,US,Bellevue,WA,+1 425-372-1224,98005,4511,47.620221,-122.177366,2022-02-08 00:00:00,2022-05-03 08:50:05,2022-05-03 12:52:39,46292,ENTERPRISE
103,104088,Bellevue NE 8th St,E14584,CITY,11839 Ne 8th St,US,Bellevue,WA,+1 425-455-1660,98005,4584,47.617,-122.182,2022-04-21 00:00:00,2022-05-03 08:50:05,2022-05-03 12:52:39,46292,ENTERPRISE
104,104089,Seattle Capitol Hill,E145X1,CITY,1605 Boylston Ave,US,Seattle,WA,+1 206-323-0109,98122,45X1,47.615358,-122.323504,2022-04-21 00:00:00,2022-05-03 08:50:05,2022-05-03 12:52:39,46292,ENTERPRISE
105,104090,Downtown Seattle,SEAC61,CITY,1601 3rd Ave,US,Seattle,WA,+1 844-941-1527,98101,45D1,47.610783,-122.339007,2022-04-12 00:00:00,2022-05-03 08:50:05,2022-05-03 12:52:39,46292,ENTERPRISE
106,104091,Issaquah,E14515,CITY,1480 Nw Gilman Blvd Ste 1,US,Issaquah,WA,+1 425-391-9495,98027,4515,47.545843,-122.060574,2022-02-08 00:00:00,2022-05-03 08:50:05,2022-05-03 12:52:39,46292,ENTERPRISE
107,104092,Rainier Valley,E145RV,CITY,3711 Rainier Ave S,US,Seattle,WA,+1 206-487-4993,98144,45RV,47.5702,-122.292,2022-02-08 00:00:00,2022-05-03 08:50:05,2022-05-03 12:52:39,46292,ENTERPRISE
